form	lemma	POS	morph
༃		PUNCT
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
འི་	གི་	PART
བསྐུལ་	བསྐུལ་	VERB
ཐབས་	ཐབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
༔		PUNCT
བདག་	བདག་	PRON
འདྲ་	འདྲ་	VERB
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
༔		PUNCT
གཞན་ཕན་	གཞན་ཕན་	OTHER
དགེ་བ་	དགེ་བ་	VERB
བསམ་པ་	བསམ་པ་	VERB
ཡི་	གིས་	PART
༔		PUNCT
དུས་	དུས་	NOUN
དེ་	དེ་	DET
ར་	ལ་	PART
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
གཏེར་སྟོན་	གཏེར་སྟོན་	OTHER
རེ་	རེ་	DET
༔		PUNCT
དེ་	སྟེ་	PART
ཡི་	གིས་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
གཏེར་	གཏེར་	NOUN
རེ་	རེ་	DET
༔		PUNCT
ཡུལ་ཁམས་	ཡུལ་ཁམས་	NOUN
ཆེ་བ་	ཆེ་བ་	VERB
ར་	ལ་	PART
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
རེ་	རེ་	DET
༔		PUNCT
ཡུལ་ཁམས་	ཡུལ་ཁམས་	NOUN
ཆུང་བ་	ཆུང་བ་	VERB
ར་	ལ་	PART
གཏེར་	གཏེར་	NOUN
ཕྲན་	ཕྲན་	OTHER
རེ་	རེ་	DET
༔		PUNCT
མདོར་ན་	མདོར་ན་	NO_POS
གང་	གང་	NO_POS
འདུལ་	འདུལ་	NO_POS
བསམ་ཡས་	བསམ་ཡས་	PROPN
ཡོད་	ཡོད་	VERB
༔		PUNCT
ཨུ་རྒྱན་	ཨུ་རྒྱན་	PROPN
སྐུ་དྲིན་	སྐུ་དྲིན་	NOUN
མི་	མི་	PART
ཆུང་	ཆུང་	VERB
ཆེ་	ཆེ་	VERB
༔		PUNCT
ཡུལ་ཕྱོགས་	ཡུལ་ཕྱོགས་	NOUN
རེ་	རེ་	DET
ལ་	ལ་	PART
གནས་ཆེན་	གནས་ཆེན་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
ས་མཚམས་	ས་མཚམས་	NOUN
རེ་	རེ་	DET
ལ་	ལ་	PART
གཏེར་ཁ་	གཏེར་ཁ་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
བནྡྷེ་		NON_WORD
རེ་	རེ་	DET
ལ་	ལ་	PART
ཆོས་ལུགས་	ཆོས་ལུགས་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
ཡུལ་	ཡུལ་	NOUN
རེ་	རེ་	DET
གྲོང་	གྲོང་	NOUN
རེ་	རེ་	DET
སྔགས་པ་	སྔགས་པ་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
ལྷ་སྲིན་	ལྷ་སྲིན་	NOUN
དམ་	གམ་	PART
ལ་	ལ་	PART
འདོག་		NON_WORD
ཐབས་	ཐབས་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
གདུག་པ་	གདུག་པ་	ADJ
འི་	གི་	PART
སྡེ་བརྒྱད་	སྡེ་བརྒྱད་	OTHER
འདུལ་	འདུལ་	NO_POS
ཐབས་	ཐབས་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
ངན་	ངན་	VERB
ཐབས་	ཐབས་	NOUN
གཏད་	གཏད་	VERB
སེ་	སེ་	NO_POS
ར་	ལ་	PART
བཟློག་	བཟློག་	VERB
ཐབས་	ཐབས་	NOUN
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
རེ་	རེ་	DET
ལ་	ལ་	PART
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
རེ་	རེ་	DET
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
མདོར་ན་	མདོར་ན་	NO_POS
གང་	གང་	NO_POS
འདུལ་	འདུལ་	NO_POS
བསམ་	བསམ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདའ་	འདའ་	VERB
༔		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
མ་འོངས་	མ་འོངས་	NOUN
ང་	ང་	PRON
ལ་མོ་	ལ་མོ་	OTHER
ས་	གིས་	PART
བྱེད་	བྱེད་	VERB
རྣམས་	རྣམས་	DET
༔		PUNCT
དེ་	སྟེ་	PART
ཡི་	གི་	PART
རྩ་	རྩ་	NUM
ན་	ལ་	PART
ང་ཉིད་	ང་ཉིད་	NO_POS
འདུག་	འདུག་	VERB
༔		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
ཤ་	ཤ་	VERB
རེ་	རེ་	NOUN
ཀྱི་	གི་	PART
༔		PUNCT
ང་	ང་	PRON
ཡི་	གི་	PART
རྗེད་	རྗེད་	NO_POS
རྡོ་	རྡོ་	NOUN
སུ་	སུ་	ADP
ས་	གིས་	PART
འཛིན་པ་	འཛིན་པ་	VERB
༔		PUNCT
དེ་	སྟེ་	PART
དང་	དང་	NO_POS
ང་	ང་	PRON
ལ་	ལ་	PART
འདུ་	འདུ་	VERB
འབྲལ་	འབྲལ་	NO_POS
མེད་	མེད་	VERB
༔		PUNCT
ཡུལ་ཁམས་	ཡུལ་ཁམས་	NOUN
རེ་	རེ་	DET
ལ་	ལ་	PART
ཆོ་	ཆོ་	NOUN
ལ་མོ་	ལ་མོ་	OTHER
ས་	གིས་	PART
༔		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ང་	ང་	PRON
ཡི་	གིས་	PART
བཟུང་བ་	བཟུང་བ་	VERB
ཡིན་	ཡིན་	NO_POS
༔		PUNCT
དེ་	སྟེ་	PART
སོགས་	སོགས་	DET
གྲོང་	གྲོང་	NOUN
རེ་	རེ་	DET
བཟའ་	བཟའ་	NOUN
ཚང་	ཚང་	VERB
